Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
HILn_TF1__2-aminoadipate,160.0615,HILIC-neg,True,Aminoadipic acid,HMDB0000510,C00956,OYIFNHCXNCRBQI-BYPYZUCNSA-N,11000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000001100110000101100100000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI134__C46:1 TAG,799.6784,C8-pos,False,TG(16:0/14:0/16:1(9Z)),HMDB0010412,,,
C18n_QI16__undecanedionate,215.1284,C18-neg,True,Undecanedioic acid,HMDB0000888,,,
HILp_QI11212__C14 carnitine,372.3116,HILIC-pos,True,Tetradecanoylcarnitine,HMDB0005066,,,
HILp_TF13__phytosphingosine,318.3007,HILIC-pos,True,Phytosphingosine,HMDB0004610,C12144,AERBNCYCJBRYDG-KSZLIROESA-N,11110000011110100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111000011000000000000110000000100000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000110001000000000010000000001000000000000000000000000100000000000000000001110001000000000000000000010000000000000001110100001100000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI87__NH4_C22:4 CE,718.6494,C8-pos,True,,,,,
C18n_QI55__glycolithocholate,432.3119,C18-neg,True,Lithocholic acid glycine conjugate,HMDB0000698,C15557,XBSQTYHEGZTYJE-OETIFKLTSA-N,11110000011110100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001111000000000000100000000100000000000000000000000111100010100111000011000000000000110000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100001000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000001100110001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000100000000000000000000
HILn_QI56__gabapentin,170.1188,HILIC-neg,False,Gabapentin,HMDB0005015,,,
C8p_QI76__C20:5 CE,693.5576,C8-pos,False,"CE(20:5(5Z,8Z,11Z,14Z,17Z)",HMDB0006731,C02530,,
C8p_QI106__NH4_C34:1 DAG,612.5563,C8-pos,True,,,,,
C8p_QI145__NH4_C48:1 TAG,822.7557,C8-pos,True,,,,,
HILp_QI3716__hydroxycotinine,193.0978,HILIC-pos,True,trans-3-Hydroxycotinine,HMDB0001390,,,
HILp_TF56__tryptophan,205.0976,HILIC-pos,False,L-Tryptophan,HMDB0000929,C00078,QIVBCDIJIAJPQS-VIFPVBQESA-N,11000000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001111000000100001111001100100011110010110010011001001000000000101010000000001100110100111101110100110000000000100000101000000000100000001100010000001000100000000010001101100110100001101110000110010010011000000010100010000011110010110000001001000110010001100001000110000000001000011001001001000000000000110010001100100000000111100110001101100111110010100011101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
C8p_QI130__C46:3 TAG,795.6464,C8-pos,True,,,,,
HILn_QI58__gentisate,153.0195,HILIC-neg,True,Gentisic acid,HMDB0000152,C00628,WXTMDXOMEHJXQO-UHFFFAOYSA-N,10000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001001000010000000000000000010001000100000000001000001100000100011001000000010000010011100110110100000100001010100010010100000000111000101000000001001011110000000010001000010001001100110000111110010101100100000110000100011100000000100000000000000010000000000000000000010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000
C8p_QI178__C52:2 TAG,881.7564,C8-pos,False,"TG(16:0/18:0/18:2(9Z,12Z))",HMDB0005369,C00422,,
C8p_QI51__C22:0 Ceramide (d18:1),622.6134,C8-pos,False,Ceramide (d18:1/22:0),HMDB0004952,C00195,,
C8p_QI104__NH4_C34:2 DAG,610.5405,C8-pos,True,,,,,
HILp_QI13031__C20:4 carnitine,448.3431,HILIC-pos,True,,,,,
C8p_QI61__C24:1 SM,813.6853,C8-pos,False,SM(d18:1/24:1(15Z)),HMDB0012107,C00550,,
C8p_QI81__NH4_C20:3 CE,692.6338,C8-pos,True,,,,,
C8p_QI103__C34:2 DAG,615.4957,C8-pos,False,"DG(16:0/18:2(9Z,12Z)/0:0)",HMDB0007103,C00165,,
HILp_QI418__4-aminophenol,110.0606,HILIC-pos,True,4-Aminophenol,HMDB0001169,C02372,PLIKAWJENQZMHA-UHFFFAOYSA-N,10000000011000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000100000001100100000011001000000000000001100001100011010000000010000000000001000000000100000000000000000100100010000100100000000000000100000100000000000000000001000000010001000000000000010001000100000000000000001100110110010001000000010000010011000100010100000101001000110010011100000000111000000000000011001001101000000010001000010001101100000000111101100000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI182__C52:0 TAG,885.7882,C8-pos,False,TG(16:0/18:0/18:0),HMDB0005365,C00422,,
C8p_QI96__C32:2 DAG,587.4654,C8-pos,False,DG(16:1(9Z)/16:1(9Z)/0:0),HMDB0007128,C00165,,
C8p_QI15__C18:1 LPE,480.3084,C8-pos,False,LysoPE(18:1(9Z)/0:0),HMDB0011506,,,
C18n_QI51__hyodeoxycholate/ursodeoxycholate,391.2855,C18-neg,False,Hyodeoxycholic acid,HMDB0000733,C15517,DGABKXLVXPYZII-SIBKNCMHSA-N,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001110010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
HILp_QI1646__proline betaine,144.1023,HILIC-pos,True,Stachydrine,HMDB0004827,C10172,CMUNUTVVOOHQPW-LURJTMIESA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000100000101000110000011000000000000100000000100000100000000011000000000000000000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001100010000000000000000000000000100000000000010010000000001000000000100000000001000000000000000000000001000000000000000000100100000000000000000000100110000001000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI34__C38:3 PC,812.6153,C8-pos,False,"PC(18:0/20:3(8Z,11Z,14Z))",HMDB0008047,C00157,,
HILn_QI31__asparagine,131.0463,HILIC-neg,True,L-Asparagine,HMDB0000168,C00152,DCXYFEDJOCDNAF-REOHCLBHSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000011000000000001100000000000000000000000100000000000000000001000001000000000000000000000000000000000000001001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF46__cadaverine,103.1237,HILIC-pos,True,Cadaverine,HMDB0002322,C01672,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,11000000011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000100000000000000000000000000000000100000000000110000010000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
